PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Anthony McFarland,PIT,RB,12,BAL,0,0,0,8.61,35.99,0.23,0.68,4.79,0.04,0,0,0,3,9,0,1,17,0,5.7,6.38,6.04,2.6,3.6,3.1,0,0,0,-5.61,-26.99,-0.23,0.32,12.21,-0.04,-3.1,-2.78,-2.94
Justice Hill,BAL,RB,12,PIT,0,0,0,6.05,24.82,0.12,1.46,10.32,0.05,0,0,0,9,35,0,2,5,0,4.53,5.99,5.26,4,6,5,0,0,0,2.95,10.18,-0.12,0.54,-5.32,-0.05,-0.53,0.01,-0.26
DK Metcalf,SEA,WR,12,PHI,0,0,0,0,0,0,5.27,76.43,0.59,0,0,0,0,0,0,10,177,0,11.18,16.45,13.82,17.7,27.7,22.7,0,0,0,0,0,0,4.73,100.57,-0.59,6.52,11.25,8.88
Tyler Lockett,SEA,WR,12,PHI,0,0,0,0,0,0,6.17,70.34,0.62,0,0,0,0,0,0,3,23,0,10.75,16.92,13.84,2.3,5.3,3.8,0,0,0,0,0,0,-3.17,-47.34,-0.62,-8.45,-11.62,-10.04
Chase Claypool,PIT,WR,12,BAL,0,0,0,1.08,6.09,0.05,4.46,57.62,0.38,0,0,0,0,0,0,6,52,0,8.95,13.41,11.18,5.2,11.2,8.2,0,0,0,-1.08,-6.09,-0.05,1.54,-5.62,-0.38,-3.75,-2.21,-2.98
Diontae Johnson,PIT,WR,12,BAL,0,0,0,0.11,0.6,0,5.09,57.7,0.4,0,0,0,0,0,0,8,46,0,8.23,13.32,10.78,4.6,12.6,8.6,0,0,0,-0.11,-0.6,0,2.91,-11.7,-0.4,-3.63,-0.72,-2.18
JuJu Smith-Schuster,PIT,WR,12,BAL,0,0,0,0,0,0,4.8,52.38,0.37,0,0,0,0,0,0,8,37,1,7.46,12.26,9.86,9.7,17.7,13.7,0,0,0,0,0,0,3.2,-15.38,0.63,2.24,5.44,3.84
Travis Fulgham,PHI,WR,12,SEA,0,0,0,0,0,0,4.52,57.25,0.28,0,0,0,0,0,0,2,16,0,7.4,11.92,9.66,1.6,3.6,2.6,0,0,0,0,0,0,-2.52,-41.25,-0.28,-5.8,-8.32,-7.06
Jalen Reagor,PHI,WR,12,SEA,0,0,0,0.12,0.69,0.01,3.83,46.97,0.23,0,0,0,0,0,0,3,11,0,6.21,10.04,8.12,1.1,4.1,2.6,0,0,0,-0.12,-0.69,-0.01,-0.83,-35.97,-0.23,-5.11,-5.94,-5.52
Marquise Brown,BAL,WR,12,PIT,0,0,0,0.02,0.11,0,3.79,48.86,0.19,0,0,0,0,0,0,4,85,1,6.04,9.83,7.94,14.5,18.5,16.5,0,0,0,-0.02,-0.11,0,0.21,36.14,0.81,8.46,8.67,8.56
Devin Duvernay,BAL,WR,12,PIT,0,0,0,0,0,0,2.91,36.82,0.14,0,0,0,0,0,0,3,20,0,4.52,7.43,5.98,2,5,3.5,0,0,0,0,0,0,0.09,-16.82,-0.14,-2.52,-2.43,-2.47
Alshon Jeffery,PHI,WR,12,SEA,0,0,0,0,0,0,2.52,30.07,0.18,0,0,0,0,0,0,2,15,0,4.09,6.61,5.35,1.5,3.5,2.5,0,0,0,0,0,0,-0.52,-15.07,-0.18,-2.59,-3.11,-2.85
David Moore,SEA,WR,12,PHI,0,0,0,0,0,0,1.96,27.66,0.21,0,0,0,1,1,0,3,-6,1,4.03,5.99,5.01,5.5,8.5,7,0,0,0,1,1,0,1.04,-33.66,0.79,1.47,2.51,1.99
